Series Name,Region,Country Name,Дружественная страна?,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],Представительство McKinsey,Представительство Bain,Представительство BCG,Представительство Deloitte,Представительство PricewaterhouseCoopers,Представительство Ernst & Young,Представительство KPMG,Country Code
"Industry (including construction), value added (% of GDP)",,Guam,,..,..,..,..,..,,,,,,,,GUM
"Industry (including construction), value added (% of GDP)",,Guatemala,,"21,42643238","21,94225744","22,33335204","22,34255528","22,64955053",,,,,,,Есть,GTM
"Industry (including construction), value added (% of GDP)",,Guinea,,"33,34100143","29,3907987","28,33300544","28,83516912","28,83516912",,,,,,,,GIN
"Industry (including construction), value added (% of GDP)",,Guinea-Bissau,,"12,66526413","13,26296146","13,48016017",..,..,,,,,,,,GNB
"Industry (including construction), value added (% of GDP)",,Guyana,,"26,25976398","28,68922593","38,79608015","50,37000426",..,,,,,,,,GUY
"Industry (including construction), value added (% of GDP)",,Haiti,,"24,13852103","23,38232622","23,32753945","25,52810878","29,34113803",,,,,,,,HTI
"Industry (including construction), value added (% of GDP)",,Honduras,,"26,5924588","27,07672913","25,95015891","26,58045746","26,25433344",,,,,,,,HND
"Industry (including construction), value added (% of GDP)",Восточная Азия,"Hong Kong SAR, China",Да,"6,478878505","6,254714375","6,170581955","5,990224653",..,,Есть,,,,,,HKG
"Industry (including construction), value added (% of GDP)",,Hungary,,"25,08482206","24,71179425","24,38955358","24,30335971","25,78178472",,,,,,,,HUN
"Industry (including construction), value added (% of GDP)",,Iceland,,"19,80397119","19,49935942","20,11876769","20,3625306","21,34000562",,,,,,,,ISL
"Industry (including construction), value added (% of GDP)",Южная Азия,India,Да,"26,4120919","24,59147531","25,02025424","26,07134929","25,62080669",Есть,Есть,Есть,Есть,Есть,Есть,Есть,IND
"Industry (including construction), value added (% of GDP)",Юго-Восточная Азия,Indonesia,Да,"39,72973745","38,951768","38,23839372","39,84495965","41,42929595",Есть,Есть,Есть,,,,,IDN
"Industry (including construction), value added (% of GDP)",Ближний Восток,"Iran, Islamic Rep.",Да,"36,93284806","33,29714526","36,14055614","38,01373475","40,21873279",,,,,,,,IRN
"Industry (including construction), value added (% of GDP)",Ближний Восток,Iraq,Да,"54,16994275","53,10940328","39,90409712","53,73313905","62,74905988",,,,,,,,IRQ
"Industry (including construction), value added (% of GDP)",,Ireland,,"36,74900479","35,43093466","37,50449021","37,79180925","41,0525833",,,,,,,,IRL
"Industry (including construction), value added (% of GDP)",,Isle of Man,,"8,021557795","7,593255829","8,88444589",..,..,,,,,,,,IMN
"Industry (including construction), value added (% of GDP)",Ближний Восток,Israel,Да,"18,61330645","18,63429673","18,14044581","17,17212049",..,,,,,,Есть,Есть,ISR
"Industry (including construction), value added (% of GDP)",,Italy,,"21,45015172","21,52700987","21,56098792","22,70106754","23,03198129",,,,,,,,ITA
"Industry (including construction), value added (% of GDP)",Южная Америка,Jamaica,Да,"20,34859028","19,25358445","20,39123954","20,9347128","19,92208154",,,,,,,Есть,JAM
"Industry (including construction), value added (% of GDP)",,Japan,,"29,01400769","28,80408481","28,99354533","28,79580647",..,,,,,,,,JPN
"Industry (including construction), value added (% of GDP)",Ближний Восток,Jordan,Да,"24,07783293","24,11168803","23,61680042","23,93213559","24,4570963",,,,Есть,Есть,Есть,Есть,JOR
"Industry (including construction), value added (% of GDP)",Центральная Азия,Kazakhstan,Да,"33,4962004","33,02879591","33,09779715","35,2669296","34,54168979",Есть,,,Есть,Есть,Есть,Есть,KAZ
"Industry (including construction), value added (% of GDP)",Африка,Kenya,Да,"17,31314613","16,93054523","17,40028763","17,15243578","17,65622358",Есть,,Есть,Есть,Есть,Есть,Есть,KEN
"Industry (including construction), value added (% of GDP)",,Kiribati,,"11,10771863","9,491150794","9,974728682",..,..,,,,,,,,KIR
"Industry (including construction), value added (% of GDP)",Восточная Азия,"Korea, Dem. People's Rep.",Да,..,..,..,..,..,,,,,,,,PRK
"Industry (including construction), value added (% of GDP)",,"Korea, Rep.",,"34,04580231","32,67914892","32,5381602","32,44592495","31,75751815",,,,,,,,KOR
"Industry (including construction), value added (% of GDP)",,Kosovo,,"27,90835853","27,08838447","27,55845663","27,44916199","28,2048753",,,,,,,,XKX
"Industry (including construction), value added (% of GDP)",Ближний Восток,Kuwait,Да,"60,32072893","58,38019059","45,42635665",..,..,Есть,,,,,,Есть,KWT
"Industry (including construction), value added (% of GDP)",Центральная Азия,Kyrgyz Republic,Да,"27,47851368","28,48952201","29,20203921","25,69772181","24,03936028",,Есть,,Есть,Есть,Есть,Есть,KGZ
"Industry (including construction), value added (% of GDP)",,Lao PDR,,"31,53319249","31,53138199","32,41636783","34,12997772","33,55454104",,,,,,,Есть,LAO
"Industry (including construction), value added (% of GDP)",,Latvia,,"18,65960365","18,85398133","19,50788678","19,94859766","20,8558038",,,,,,,,LVA
"Industry (including construction), value added (% of GDP)",,Lebanon,,"13,80560238","12,49911818","6,638166395","2,758632074",..,,,,,,,Есть,LBN
"Industry (including construction), value added (% of GDP)",Африка,Lesotho,Да,"31,13904313","29,98260796","31,06508943","28,47473095","24,93907822",,,,,,,,LSO
"Industry (including construction), value added (% of GDP)",,Liberia,,"16,92386495","16,98960702","17,70799996","18,23881448","21,39439921",,,,,,,,LBR
"Industry (including construction), value added (% of GDP)",,Libya,,"49,67675801","48,30346309","10,36227996","79,96087499","80,30803163",,,,,,,,LBY
"Industry (including construction), value added (% of GDP)",,Liechtenstein,,"41,75503469","44,29210181","40,30595278",..,..,,,,,,,,LIE
"Industry (including construction), value added (% of GDP)",,Lithuania,,"25,61910601","25,25497247","24,83715654","25,31535307","27,23659182",,,,,,,,LTU
"Industry (including construction), value added (% of GDP)",,Luxembourg,,"10,98065234","11,70274668","11,33301813","11,2070985","12,26817582",,,,,,,,LUX
"Industry (including construction), value added (% of GDP)",,"Macao SAR, China",,"4,08350755","4,227773663","8,444977606","7,901491559",..,,,,,,,,MAC
"Industry (including construction), value added (% of GDP)",Африка,Madagascar,Да,"21,48195747","22,44549735","19,46618711","21,72586418","22,43360183",,,,,,,,MDG
"Industry (including construction), value added (% of GDP)",,Malawi,,"18,37113077","18,53552612","18,68429687","18,41499308","18,34640477",,,,,,,,MWI
"Industry (including construction), value added (% of GDP)",Юго-Восточная Азия,Malaysia,Да,"38,29143917","37,47655524","35,95711399","37,75868575","39,19927913",Есть,,Есть,,,Есть,Есть,MYS
"Industry (including construction), value added (% of GDP)",Южная Азия,Maldives,Да,"12,80742445","11,6525344","11,89282167","8,944293966",..,,,,,,Есть,Есть,MDV
"Industry (including construction), value added (% of GDP)",,Mali,,"20,22894748","20,92330893","21,15737885","20,55449777","19,96299727",,,,,,,,MLI
"Industry (including construction), value added (% of GDP)",,Malta,,"11,85967655","12,33353104","13,28566221","12,49162068","12,34182857",,,,,,,,MLT
"Industry (including construction), value added (% of GDP)",,Marshall Islands,,"12,24222098","14,47337977","13,40339166","10,28197336",..,,,,,,,,MHL
"Industry (including construction), value added (% of GDP)",,Mauritania,,"23,63503872","27,84021026","32,41411937","32,89727548","34,65471314",,,,,,,,MRT
"Industry (including construction), value added (% of GDP)",Африка,Mauritius,Да,"17,59954564","16,91088598","16,65173118","18,251661","18,36973554",,,,,,,Есть,MUS
"Industry (including construction), value added (% of GDP)",Латинская Америка,Mexico,Да,"31,14884669","30,7788972","29,79674163","30,83440299","32,13003972",Есть,Есть,Есть,,,,Есть,MEX
"Industry (including construction), value added (% of GDP)",,"Micronesia, Fed. Sts.",,"4,866441438","4,817912621","4,885343137","5,022883264","4,853662349",,,,,,,,FSM
"Industry (including construction), value added (% of GDP)",Восточная  Европа,Moldova,Да,"22,14797636","21,92334893","23,134523","20,63126068","20,04254224",,,,Есть,Есть,Есть,Есть,MDA
"Industry (including construction), value added (% of GDP)",,Monaco,,"13,12890888","13,03537046","14,87645324","12,51788663",..,,,,,,,,MCO
"Industry (including construction), value added (% of GDP)",Восточная Азия,Mongolia,Да,"37,97567033","38,09269776","37,04967085","37,07557212","37,0112137",,,,,,Есть,Есть,MNG
"Industry (including construction), value added (% of GDP)",,Montenegro,,"15,93412579","16,12944243","17,29468088","14,83549527","13,04202468",,,,,,,,MNE
"Industry (including construction), value added (% of GDP)",Африка,Morocco,Да,"25,24135381","25,24995241","26,04486736","26,08098406","27,20623341",Есть,,Есть,,,Есть,,MAR
"Industry (including construction), value added (% of GDP)",Африка,Mozambique,Да,"25,34467979","23,65170938","21,4271064","21,90419452",..,,,,,,,Есть,MOZ
"Industry (including construction), value added (% of GDP)",Юго-Восточная Азия,Myanmar,Да,"36,74276972","37,96077086","38,5791836","35,04618422","41,10529132",,,,,,,Есть,MMR
"Industry (including construction), value added (% of GDP)",Африка,Namibia,Да,"26,86990511","27,05058155","25,81873492","24,9042645","27,98128989",,,,Есть,,Есть,Есть,NAM
"Industry (including construction), value added (% of GDP)",,Nauru,,..,..,..,..,..,,,,,,,,NRU
"Industry (including construction), value added (% of GDP)",,Nepal,,"13,20063963","13,01067541","12,04731993","11,79204255","12,02982262",,,,,,,,NPL
"Industry (including construction), value added (% of GDP)",,Netherlands,,"17,80572542","17,56228053","17,856829","17,88116474","18,91326475",,,,,,,,NLD
"Industry (including construction), value added (% of GDP)",,New Caledonia,,..,"22,32673267",..,..,..,,,,,,,,NCL
"Industry (including construction), value added (% of GDP)",,New Zealand,,"20,32583246","20,35913148","19,70835431",..,..,,,,,,,,NZL
"Industry (including construction), value added (% of GDP)",,Nicaragua,,"24,99482955","24,28093216","25,42082477","27,07909568","25,98944521",,,,,,,,NIC
"Industry (including construction), value added (% of GDP)",,Niger,,"19,74173756","20,5433085","20,23948487","20,83428202",..,,,,,,,,NER
"Industry (including construction), value added (% of GDP)",,Nigeria,,"25,73330658","27,38253705","28,22050552","31,40753404","30,77556872",Есть,,Есть,,,,,NGA
"Industry (including construction), value added (% of GDP)",,North Macedonia,,"24,05042988","23,70348341","22,7433488","22,3548656","22,94950569",,,,,,,,MKD
"Industry (including construction), value added (% of GDP)",,Northern Mariana Islands,,..,..,..,..,..,,,,,,,,MNP
"Industry (including construction), value added (% of GDP)",,Norway,,"32,64461227","29,82445898","26,88316734","36,34354476","48,68651055",,,,,,,,NOR
"Industry (including construction), value added (% of GDP)",Ближний Восток,Oman,Да,"53,89353115","51,37925096","47,14779683","50,63368069","56,9789701",,,,,,Есть,Есть,OMN
"Industry (including construction), value added (% of GDP)",Ближний Восток,Pakistan,Да,"18,58905159","19,56389458","18,58946354","18,79618819","19,82276689",Есть,,,,,Есть,Есть,PAK
"Industry (including construction), value added (% of GDP)",,Palau,,"9,055809056","11,29437074","12,86224692","12,07529844",..,,,,,,,,PLW
"Industry (including construction), value added (% of GDP)",,Panama,,"28,27158443","28,3874504","23,31903018","26,21853584","26,16937047",Есть,,Есть,,,,Есть,PAN
"Industry (including construction), value added (% of GDP)",,Papua New Guinea,,"36,92404507","36,71042702","33,04708756",..,..,,,,,,,,PNG
"Industry (including construction), value added (% of GDP)",,Paraguay,,"33,25367724","33,16177386","33,84882871","34,34028018","33,21138564",,,,,,,,PRY
"Industry (including construction), value added (% of GDP)",Латинская Америка,Peru,Да,"31,6240835","30,44919578","30,23937546","34,80589162",..,Есть,,Есть,,,,Есть,PER
"Industry (including construction), value added (% of GDP)",Юго-Восточная Азия,Philippines,Да,"30,56374015","30,32750788","28,39991759","28,88980668","29,22623722",Есть,Есть,Есть,,,Есть,Есть,PHL
"Industry (including construction), value added (% of GDP)",,Poland,,"28,75731364","28,63654319","28,34833116","27,86491958","29,83298699",,,,,,,,POL
"Industry (including construction), value added (% of GDP)",,Portugal,,"19,29930797","18,83272376","19,400455","19,63470657","19,06927225",,,,,,,,PRT
"Industry (including construction), value added (% of GDP)",,Puerto Rico,,"50,6557671","50,84441206","50,31692732","48,67296738","46,2318442",,,,,,,,PRI
"Industry (including construction), value added (% of GDP)",,Qatar,,"60,38152349","57,16456607","52,33343073","60,0023294","65,60685677",Есть,Есть,,,,,Есть,QAT
"Industry (including construction), value added (% of GDP)",,Romania,,"28,91867087","27,59180203","26,54793559","26,72799887","28,8306111",,,,,,,,ROU
"Industry (including construction), value added (% of GDP)",,Russian Federation,,"32,55429805","32,15049584","29,71712458","31,77213467","32,7935316",Есть,,,,,,,RUS
"Industry (including construction), value added (% of GDP)",,Rwanda,,"17,33550367","18,83922346","18,61909314","20,31248199","21,23477312",,,,,,,Есть,RWA
"Industry (including construction), value added (% of GDP)",,Samoa,,"11,72041111","11,95963932","11,12237565","11,13072041","11,43170219",,,,,,,,WSM
"Industry (including construction), value added (% of GDP)",,San Marino,,"36,21692033","34,77865695","35,61492209","36,63555816",..,,,,,,,,SMR
"Industry (including construction), value added (% of GDP)",,Sao Tome and Principe,,"14,24727077","13,44215817","13,24860969","11,85901356","11,2561024",,,,,,,,STP
"Industry (including construction), value added (% of GDP)",Ближний Восток,Saudi Arabia,Да,"49,13399194","46,04781651","39,47053231","44,71277186","53,32827528",Есть,Есть,,,,,Есть,SAU
"Industry (including construction), value added (% of GDP)",,Senegal,,"24,01344539","23,57280962","23,20904116","24,29979411","24,54034237",,,,,,,Есть,SEN
"Industry (including construction), value added (% of GDP)",Восточная  Европа,Serbia,Да,"25,49751601","25,59811074","24,90235593","24,99838081","23,11398808",Есть,,Есть,Есть,Есть,Есть,Есть,SRB
"Industry (including construction), value added (% of GDP)",Африка,Seychelles,Да,"12,55559057","12,77445417","14,7569497","13,59943806","13,45740988",,,,,,,,SYC
"Industry (including construction), value added (% of GDP)",,Sierra Leone,,"5,270390151","5,55226087","5,243410348","5,933703095",..,,,,,,,,SLE
"Industry (including construction), value added (% of GDP)",,Singapore,,"25,38630838","24,04778764","23,33872557","24,36408893","24,15695977",,,,,,,Есть,SGP
"Industry (including construction), value added (% of GDP)",,Sint Maarten (Dutch part),,..,..,..,..,..,,,,,,,,SXM
"Industry (including construction), value added (% of GDP)",,Slovak Republic,,"29,30406783","29,80795795","28,16812274","29,7671682","28,62859701",,,,,,,,SVK
"Industry (including construction), value added (% of GDP)",,Slovenia,,"28,30314312","28,9004057","29,23206055","28,48174922","29,00999293",,,,,,,,SVN
"Industry (including construction), value added (% of GDP)",,Solomon Islands,,"17,60163772","18,12150521","17,24498692",..,..,,,,,,,,SLB
"Industry (including construction), value added (% of GDP)",,Somalia,,..,..,..,..,..,,,,,,,,SOM
"Industry (including construction), value added (% of GDP)",Африка,South Africa,Да,"23,60162619","23,63780822","23,2727873","24,50388856","24,44309252",Есть,Есть,Есть,,,,,ZAF
"Industry (including construction), value added (% of GDP)",,South Sudan,,..,..,..,..,..,,,,,,,,SSD
"Industry (including construction), value added (% of GDP)",,Spain,,"19,86594776","20,0416214","20,1321301","20,35742873","20,76138491",,,,,,,,ESP
"Industry (including construction), value added (% of GDP)",Южная Азия,Sri Lanka,Да,"30,05681996","29,19100694","28,19028257","29,97470312","30,26766164",Есть,,,Есть,Есть,Есть,Есть,LKA
"Industry (including construction), value added (% of GDP)",,St. Kitts and Nevis,,"24,60991371","25,37058953","23,19729002","22,59323317","20,85762505",,,,,,,,KNA
"Industry (including construction), value added (% of GDP)",,St. Lucia,,"9,877387876","8,667739596","11,36763412","12,32480729","10,48501837",,,,,,,,LCA
"Industry (including construction), value added (% of GDP)",,St. Martin (French part),,..,..,..,..,..,,,,,,,,MAF
"Industry (including construction), value added (% of GDP)",,St. Vincent and the Grenadines,,"14,55746136","13,69993712","12,5971339","13,36573432","14,71356879",,,,,,,,VCT
"Industry (including construction), value added (% of GDP)",,Sudan,,"20,7757619","21,73630133","23,32818616","7,368743673","4,871401124",,,,,,,,SDN
"Industry (including construction), value added (% of GDP)",,Suriname,,"36,75983625","33,88066239","36,56067184","36,74257802",..,,,,,,,,SUR
"Industry (including construction), value added (% of GDP)",,Sweden,,"22,00243729","21,90371194","21,59068762","22,50197728","23,71595198",,,,,,,,SWE
"Industry (including construction), value added (% of GDP)",,Switzerland,,"24,42395718","24,72115913","24,81226719","24,59815491","24,19669934",,,,,,,,CHE
"Industry (including construction), value added (% of GDP)",Ближний Восток,Syrian Arab Republic,Да,"18,49595161","15,91604685","22,09303995",..,..,,,,,,Есть,,SYR
